Rndrng_Prvdr_CCN,Rndrng_Prvdr_Org_Name,Rndrng_Prvdr_St,Rndrng_Prvdr_City,Rndrng_Prvdr_Zip5,Rndrng_Prvdr_State_Abrvtn,Rndrng_Prvdr_State_FIPS,Rndrng_Prvdr_RUCA,Rndrng_Prvdr_RUCA_Desc,Tot_Benes,Tot_Submtd_Cvrd_Chrg,Tot_Pymt_Amt,Tot_Mdcr_Pymt_Amt,Tot_Dschrgs,Tot_Cvrd_Days,Tot_Days,Bene_Avg_Age,Bene_Age_LT_65_Cnt,Bene_Age_65_74_Cnt,Bene_Age_75_84_Cnt,Bene_Age_GT_84_Cnt,Bene_Feml_Cnt,Bene_Male_Cnt,Bene_Race_Wht_Cnt,Bene_Race_Black_Cnt,Bene_Race_API_Cnt,Bene_Race_Hspnc_Cnt,Bene_Race_NatInd_Cnt,Bene_Race_Othr_Cnt,Bene_Dual_Cnt,Bene_Ndual_Cnt,Bene_CC_BH_ADHD_OthCD_V1_Pct,Bene_CC_BH_Alcohol_Drug_V1_Pct,Bene_CC_BH_Tobacco_V1_Pct,Bene_CC_BH_Alz_NonAlzdem_V2_Pct,Bene_CC_BH_Anxiety_V1_Pct,Bene_CC_BH_Bipolar_V1_Pct,Bene_CC_BH_Mood_V2_Pct,Bene_CC_BH_Depress_V1_Pct,Bene_CC_BH_PD_V1_Pct,Bene_CC_BH_PTSD_V1_Pct,Bene_CC_BH_Schizo_OthPsy_V1_Pct,Bene_CC_PH_Asthma_V2_Pct,Bene_CC_PH_Afib_V2_Pct,Bene_CC_PH_Cancer6_V2_Pct,Bene_CC_PH_CKD_V2_Pct,Bene_CC_PH_COPD_V2_Pct,Bene_CC_PH_Diabetes_V2_Pct,Bene_CC_PH_HF_NonIHD_V2_Pct,Bene_CC_PH_Hyperlipidemia_V2_Pct,Bene_CC_PH_Hypertension_V2_Pct,Bene_CC_PH_IschemicHeart_V2_Pct,Bene_CC_PH_Osteoporosis_V2_Pct,Bene_CC_PH_Parkinson_V2_Pct,Bene_CC_PH_Arthritis_V2_Pct,Bene_CC_PH_Stroke_TIA_V2_Pct,Bene_Avg_Risk_Scre
010001,"Southeast Health Medical Center","1108 Ross Clark Circle",Dothan,36301,AL,01,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater","3,088","$278,526,569","$60,345,158","$50,914,956","4,059","23,188","23,955",74.7,388,975,"1,117",608,"1,600","1,488","2,548",452,15,24,,,779,"2,309",1%,11%,26%,21%,40%,7%,41%,37%,1%,3%,6%,11%,40%,20%,45%,35%,50%,44%,75%,75%,50%,14%,3%,61%,27%,2.005
010005,"Marshall Medical Centers South Campus","2505 U S Highway 431 North",Boaz,35957,AL,01,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999","1,123","$31,478,721","$14,642,451","$11,823,938","1,410","7,134","7,381",76.2,142,305,411,265,634,489,"1,083",,,16,,12,322,801,1%,13%,25%,27%,41%,8%,41%,37%,1%,2%,5%,9%,37%,18%,43%,43%,43%,48%,75%,75%,47%,17%,5%,61%,26%,1.723
010006,"North Alabama Medical Center","1701 Veterans Drive",Florence,35630,AL,01,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater","2,634","$215,598,957","$44,902,549","$37,659,141","3,621","20,645","21,017",75.6,283,841,987,523,"1,454","1,180","2,440",146,,24,,24,587,"2,047",1%,23%,22%,21%,41%,7%,46%,42%,3%,2%,5%,13%,39%,19%,38%,42%,48%,42%,75%,75%,52%,19%,6%,65%,21%,1.910
010007,"Mizell Memorial Hospital","702 N Main St",Opp,36467,AL,01,7,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",252,"$5,880,788","$3,654,041","$3,247,319",353,"1,415","1,445",76.1,30,67,97,58,139,113,233,18,,,,,96,156,2%,14%,25%,37%,50%,10%,51%,44%,3%,2%,12%,14%,43%,15%,49%,53%,51%,52%,75%,75%,44%,11%,8%,60%,19%,1.935
010008,"Crenshaw Community Hospital","101 Hospital Circle",Luverne,36049,AL,01,3,"Metropolitan area low commuting: primary flow 10% to <30% to a urbanized area of 50,000 and greater",89,"$2,504,675","$1,038,446","$892,139",123,613,621,77.2,,17,36,,49,40,73,15,,,,,35,54,1%,17%,25%,36%,43%,12%,46%,38%,1%,6%,10%,8%,38%,19%,43%,46%,45%,30%,75%,75%,43%,20%,3%,55%,18%,1.618
010011,"St Vincent's East","50 Medical Park East Drive",Birmingham,35235,AL,01,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater","1,943","$160,898,192","$36,403,238","$29,501,414","2,609","14,769","15,627",73.8,304,619,650,370,"1,024",919,"1,616",281,,21,,21,411,"1,532",3%,16%,23%,22%,43%,10%,47%,43%,9%,3%,11%,12%,40%,16%,45%,36%,46%,43%,75%,75%,53%,12%,3%,51%,21%,2.099
010012,"Dekalb Regional Medical Center","200 Med Center Drive","Fort Payne",35968,AL,01,10,"Rural areas: primary flow to a tract outside a urbanized area of 50,000 and greater or UC",454,"$40,225,683","$6,542,387","$5,653,036",571,"1,895","1,953",75.2,51,146,165,92,261,193,436,,,,,,139,315,1%,10%,25%,29%,40%,8%,41%,36%,0%,1%,8%,9%,35%,13%,41%,40%,47%,44%,75%,75%,50%,10%,4%,60%,12%,1.637
010016,"Shelby Baptist Medical Center","1000 First Street North",Alabaster,35007,AL,01,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater","1,143","$203,688,120","$21,558,422","$16,808,051","1,504","7,757","8,336",75.7,128,348,430,237,595,548,"1,028",87,,12,,14,177,966,2%,10%,20%,27%,39%,6%,41%,37%,1%,1%,5%,12%,42%,20%,58%,34%,48%,57%,75%,75%,64%,16%,5%,54%,23%,2.021
010018,"Uab Callahan Eye Hospital Authority","1720 University Blvd Ste 305",Birmingham,35233,AL,01,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",11,"$335,890","$232,833","$102,774",11,27,31,73.6,,,,,,,,,,,,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,9%,9%,27%,18%,18%,18%,9%,64%,75%,27%,9%,0%,64%,9%,0.744
010019,"Helen Keller Memorial Hospital","1300 South Montgomery Avenue",Sheffield,35660,AL,01,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater","1,152","$43,141,083","$13,351,469","$11,131,447","1,535","7,338","7,454",76.3,112,351,426,263,679,473,"1,043",95,,,,,299,853,1%,16%,19%,26%,49%,6%,46%,40%,3%,1%,6%,12%,39%,19%,44%,40%,47%,42%,75%,75%,42%,17%,5%,65%,17%,1.846
010021,"Dale Medical Center","126 Hospital Ave",Ozark,36360,AL,01,4.1,"Secondary flow 30% to <50% to a urbanized area of 50,000 and greater",159,"$4,329,161","$2,259,393","$2,011,404",197,964,975,71.0,40,39,44,36,82,77,134,20,,,,,57,102,4%,25%,36%,26%,47%,13%,52%,35%,3%,8%,18%,10%,36%,15%,35%,38%,40%,34%,70%,75%,41%,16%,5%,55%,11%,1.524
010022,"Floyd Cherokee Medical Center","400 Northwood Dr",Centre,35960,AL,01,3,"Metropolitan area low commuting: primary flow 10% to <30% to a urbanized area of 50,000 and greater",111,"$3,261,058","$1,334,293","$1,099,205",143,590,622,66.7,43,29,24,15,60,51,96,11,,,,,50,61,5%,45%,54%,18%,65%,26%,58%,54%,9%,14%,20%,14%,17%,16%,36%,44%,37%,36%,70%,75%,36%,11%,1%,49%,13%,1.648
010023,"Baptist Medical Center South","2105 East South Boulevard",Montgomery,36116,AL,01,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater","1,964","$154,862,184","$47,986,528","$37,311,647","2,545","16,509","18,066",73.2,345,640,614,365,"1,098",866,"1,278",623,,,,50,480,"1,484",1%,12%,21%,21%,34%,4%,33%,29%,1%,2%,5%,12%,36%,20%,48%,31%,47%,42%,75%,75%,52%,15%,3%,52%,31%,2.157
010024,"Jackson Hospital & Clinic Inc","1725 Pine Street",Montgomery,36106,AL,01,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater","1,898","$140,320,381","$30,645,865","$24,848,664","2,555","14,155","15,062",74.8,245,627,607,419,945,953,"1,227",621,11,,,33,412,"1,486",1%,13%,17%,25%,29%,5%,34%,29%,1%,3%,6%,10%,37%,20%,42%,35%,48%,42%,75%,75%,52%,13%,3%,64%,22%,2.132
010029,"East Alabama Medical Center","2000 Pepperell Parkway",Opelika,36801,AL,01,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater","1,970","$91,546,693","$37,714,331","$29,276,509","2,563","14,710","15,389",74.0,305,619,645,401,"1,060",910,"1,486",440,,,,25,433,"1,537",1%,11%,23%,19%,31%,4%,30%,26%,1%,2%,5%,12%,34%,18%,41%,31%,41%,36%,74%,75%,48%,14%,3%,50%,16%,1.855
010033,"University Of Alabama Hospital","619 South 19th Street",Birmingham,35233,AL,01,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater","7,028","$1,220,328,418","$277,641,374","$193,609,276","9,350","59,001","63,789",70.0,"1,592","2,682","2,003",751,"3,527","3,501","5,268","1,510",31,55,,,"1,422","5,606",2%,14%,21%,16%,39%,6%,39%,35%,2%,3%,4%,12%,34%,21%,41%,28%,43%,39%,75%,75%,46%,13%,3%,54%,22%,2.252
010034,"Community Hospital Inc","805 Friendship Road",Tallassee,36078,AL,01,7.1,"Secondary flow 30% to <50% to a urbanized area of 50,000 and greater",83,"$1,016,431","$1,067,501","$928,629",107,422,428,76.2,,19,34,,39,44,70,13,,,,,17,66,2%,20%,19%,30%,33%,6%,34%,27%,0%,5%,6%,7%,28%,17%,43%,33%,30%,33%,72%,75%,41%,12%,4%,52%,20%,1.644
010035,"Cullman Regional Medical Center","1912 Alabama Highway 157",Cullman,35058,AL,01,5,"Micropolitan high commuting: primary flow 30% or more to a urban cluster of 10,000 to 49,999","1,740","$79,541,305","$25,572,166","$21,903,240","2,495","9,134","9,346",77.0,189,446,634,471,"1,021",719,"1,693",,,14,,20,408,"1,332",2%,10%,21%,26%,39%,5%,46%,38%,4%,2%,5%,8%,36%,18%,40%,34%,44%,49%,75%,75%,48%,19%,5%,61%,25%,1.799
010036,"Andalusia Health","849 South Three Notch Street",Andalusia,36420,AL,01,7,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",509,"$34,169,460","$6,446,634","$5,561,386",690,"2,505","2,528",77.1,57,122,193,137,291,218,458,45,,,,,144,365,2%,17%,26%,30%,43%,6%,36%,32%,7%,2%,6%,12%,42%,23%,59%,47%,45%,51%,75%,75%,49%,17%,5%,66%,25%,1.914
010039,"Huntsville Hospital","101 Sivley Rd",Huntsville,35801,AL,01,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater","7,750","$833,559,319","$156,255,172","$128,433,790","10,505","60,391","62,783",75.9,753,"2,535","2,764","1,698","4,144","3,606","6,695",797,43,91,,,"1,048","6,702",2%,10%,19%,22%,35%,5%,37%,32%,2%,2%,4%,12%,39%,20%,43%,28%,44%,39%,75%,75%,55%,16%,4%,57%,24%,1.875
010040,"Gadsden Regional Medical Center","1007 Goodyear Avenue",Gadsden,35903,AL,01,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater","1,302","$323,367,390","$20,812,823","$17,405,910","1,778","9,001","9,430",71.7,289,380,422,211,697,605,"1,161",106,,14,,19,374,928,3%,17%,31%,21%,50%,15%,50%,45%,3%,3%,13%,16%,38%,19%,44%,44%,45%,41%,75%,75%,50%,12%,3%,63%,20%,1.864
010044,"Marion Regional Medical Center","1256 Military Street South",Hamilton,35570,AL,01,10,"Rural areas: primary flow to a tract outside a urbanized area of 50,000 and greater or UC",97,"$1,941,191","$1,296,119","$1,147,319",115,299,302,77.4,,26,35,,59,38,97,,,,,,27,70,0%,13%,21%,33%,41%,26%,47%,45%,0%,2%,3%,18%,39%,20%,49%,46%,54%,45%,75%,75%,48%,28%,1%,69%,19%,1.708
010045,"Fayette Medical Center","1653 Temple Avenue North",Fayette,35555,AL,01,7,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",149,"$3,242,270","$1,724,855","$1,486,100",180,562,573,76.1,16,49,50,34,88,61,139,,,,,,49,100,1%,11%,23%,20%,36%,8%,35%,32%,0%,1%,4%,7%,37%,17%,48%,48%,54%,50%,75%,75%,38%,13%,4%,59%,20%,1.625
010046,"Riverview Regional Medical Center","600 South Third Street",Gadsden,35901,AL,01,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater","1,294","$141,034,166","$19,118,189","$16,417,604","1,846","8,165","8,429",73.8,214,410,421,249,741,553,"1,135",129,,11,,14,370,924,2%,16%,27%,23%,48%,13%,43%,38%,2%,3%,7%,16%,36%,16%,56%,45%,46%,47%,75%,75%,54%,14%,3%,63%,18%,2.028
010049,"Medical Center Enterprise","400 N Edwards Street",Enterprise,36330,AL,01,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",563,"$64,346,172","$6,607,891","$5,476,899",695,"2,348","2,418",75.9,58,159,222,124,312,251,482,53,,11,,12,106,457,1%,10%,23%,26%,34%,4%,41%,34%,1%,4%,6%,13%,34%,19%,37%,35%,43%,38%,75%,75%,37%,16%,4%,58%,20%,1.614
010051,"Greene County Hospital","509 Wilson Avenue",Eutaw,35462,AL,01,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",16,"$210,089","$146,808","$133,208",17,115,115,59.8,,,,,,,,,,,,,,,13%,69%,63%,13%,69%,44%,69%,63%,25%,19%,38%,31%,6%,13%,13%,38%,44%,19%,50%,75%,19%,0%,0%,50%,13%,1.750
010052,"Lake Martin Community Hospital","201 Mariarden Road",Dadeville,36853,AL,01,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",84,"$714,107","$888,620","$737,021",111,350,361,72.0,,30,28,,47,37,67,16,,,,,24,60,0%,24%,25%,24%,35%,7%,38%,37%,0%,6%,10%,13%,27%,20%,50%,48%,40%,40%,71%,75%,51%,14%,8%,62%,12%,1.606
010055,"Flowers Hospital","4370 West Main Street",Dothan,36305,AL,01,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater","2,350","$366,264,322","$35,763,935","$28,710,514","2,961","12,995","13,910",75.0,269,769,872,440,"1,227","1,123","2,032",257,,24,,28,451,"1,899",1%,9%,22%,19%,41%,4%,38%,34%,1%,3%,4%,13%,36%,19%,40%,33%,46%,38%,75%,75%,46%,15%,3%,59%,21%,1.809
010056,"St Vincent's Birmingham","810 St Vincent's Drive",Birmingham,35205,AL,01,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater","2,850","$208,448,624","$47,649,081","$38,990,760","3,639","18,211","19,144",76.1,260,966,980,644,"1,563","1,287","2,417",367,,21,,39,368,"2,482",1%,13%,17%,23%,39%,6%,40%,37%,2%,2%,5%,13%,39%,21%,48%,33%,47%,41%,75%,75%,49%,16%,4%,63%,22%,2.000
010058,"Bibb Medical Center","208 Pierson Ave",Centreville,35042,AL,01,7,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",61,"$574,357","$813,669","$715,401",75,344,347,81.4,,12,18,,44,17,53,,,,,,26,35,2%,7%,10%,57%,49%,15%,48%,41%,2%,0%,5%,11%,34%,18%,57%,39%,41%,41%,75%,75%,34%,30%,13%,70%,21%,2.117
010059,"Lawrence Medical Center","202 Hospital Street",Moulton,35650,AL,01,7.1,"Secondary flow 30% to <50% to a urbanized area of 50,000 and greater",77,"$952,897","$858,832","$750,812",96,315,321,75.6,,25,29,,39,38,72,,,,,,29,48,8%,8%,32%,31%,51%,4%,48%,43%,0%,1%,8%,10%,34%,13%,42%,45%,58%,47%,75%,75%,47%,21%,5%,58%,22%,1.759
010061,"Highlands Medical Center","380 Woods Cove Road",Scottsboro,35768,AL,01,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",431,"$13,016,027","$5,515,928","$4,790,252",522,"2,315","2,343",76.5,55,111,146,119,276,155,415,11,,,,,150,281,1%,13%,23%,33%,52%,8%,43%,38%,1%,2%,8%,14%,35%,15%,45%,41%,49%,48%,75%,75%,51%,15%,6%,65%,19%,1.827
010062,"Wiregrass Medical Center","1200 W Maple Avenue",Geneva,36340,AL,01,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",76,"$1,312,831","$965,083","$855,949",95,481,485,70.9,17,18,25,16,25,51,62,12,,,,,33,43,3%,33%,41%,20%,37%,18%,54%,51%,3%,8%,20%,8%,30%,13%,45%,49%,39%,46%,67%,75%,41%,8%,0%,50%,16%,1.687
010065,"Russell Medical Center","3316 Highway 280","Alexander City",35010,AL,01,7,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",331,"$7,601,955","$4,267,470","$3,653,708",393,"1,246","1,275",77.0,37,79,128,87,156,175,281,43,,,,,63,268,1%,11%,18%,27%,30%,5%,37%,29%,1%,3%,5%,6%,44%,18%,60%,42%,43%,50%,75%,75%,62%,13%,6%,69%,17%,2.095
010069,"Medical Center Barbour","820 W Washington St",Eufaula,36027,AL,01,7,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",170,"$3,355,261","$1,956,537","$1,680,863",211,676,705,76.6,19,42,60,49,104,66,123,41,,,,,53,117,1%,15%,23%,24%,44%,8%,41%,38%,1%,1%,10%,14%,34%,16%,39%,34%,43%,41%,75%,75%,37%,14%,2%,50%,21%,2.033
010073,"Clay County Hospital","83825 Highway 9    P O Box 1270",Ashland,36251,AL,01,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",142,"$3,074,084","$2,131,321","$1,872,091",199,996,"1,016",71.4,42,33,34,33,67,75,121,20,,,,,67,75,5%,35%,41%,27%,57%,15%,59%,54%,6%,11%,15%,14%,35%,12%,37%,49%,41%,39%,75%,75%,42%,9%,4%,58%,13%,1.698
010078,"Northeast Alabama Regional Medical Center","400 East 10th Street",Anniston,36207,AL,01,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater","1,869","$183,477,197","$31,363,092","$26,723,547","2,680","14,205","14,778",74.2,289,587,615,378,"1,088",781,"1,547",254,11,20,,,442,"1,427",1%,17%,28%,25%,42%,8%,42%,37%,2%,3%,5%,14%,38%,16%,45%,44%,47%,44%,75%,75%,55%,18%,3%,65%,19%,2.009
010079,"Athens Limestone Hospital","700 West Market Street",Athens,35611,AL,01,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",847,"$29,744,791","$11,095,941","$9,390,324","1,072","4,222","4,343",76.1,89,263,302,193,496,351,777,51,,,,,171,676,3%,11%,21%,25%,36%,7%,47%,38%,2%,2%,6%,13%,34%,19%,43%,37%,45%,41%,75%,75%,47%,18%,5%,62%,18%,1.851
010083,"South Baldwin Regional Medical Center","1613 North Mckenzie Street",Foley,36535,AL,01,7,"Small town core: primary flow within an urban cluster of 2,500 to 9,999","1,247","$174,891,476","$18,659,520","$15,373,045","1,564","6,450","6,670",76.4,82,423,484,258,660,587,"1,180",35,,12,,16,137,"1,110",2%,11%,18%,19%,33%,3%,33%,30%,1%,2%,3%,11%,39%,22%,40%,35%,41%,41%,75%,75%,56%,19%,2%,57%,17%,1.757
010085,"Decatur Morgan Hospital-Decatur Campus","1201 7th Street Se",Decatur,35601,AL,01,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater","1,562","$61,772,073","$22,675,546","$18,558,262","2,089","11,547","12,071",76.2,168,440,581,373,879,683,"1,393",124,,19,,22,321,"1,241",2%,12%,22%,26%,37%,5%,41%,37%,2%,2%,4%,10%,38%,21%,45%,38%,48%,41%,75%,75%,46%,17%,4%,60%,17%,1.979
010086,"Northwest Medical Center","1530 U S Highway 43",Winfield,35594,AL,01,10,"Rural areas: primary flow to a tract outside a urbanized area of 50,000 and greater or UC",249,"$8,504,610","$2,861,171","$2,407,314",314,"1,068","1,102",75.9,31,72,83,63,147,102,241,,,,,,93,156,2%,16%,27%,28%,52%,10%,52%,47%,2%,1%,8%,9%,33%,20%,54%,49%,50%,37%,75%,75%,43%,21%,4%,63%,26%,1.950
010087,"Usa Health University Hospital","2451 Fillingim Street",Mobile,36617,AL,01,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater","1,310","$90,299,353","$43,932,192","$28,818,965","1,646","12,108","14,520",70.3,303,467,366,174,639,671,932,337,,,,23,324,986,2%,15%,25%,21%,33%,4%,35%,32%,2%,4%,5%,10%,28%,19%,36%,23%,42%,33%,72%,75%,44%,12%,5%,47%,30%,1.931
010089,"Walker Baptist Medical Center","3400 Highway 78 East",Jasper,35502,AL,01,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",763,"$104,919,298","$12,401,911","$10,214,792","1,004","3,948","4,139",74.2,114,252,252,145,424,339,726,30,,,,,178,585,3%,16%,26%,33%,48%,7%,49%,45%,2%,3%,10%,10%,34%,18%,52%,46%,47%,44%,75%,75%,50%,23%,4%,68%,18%,1.881
010090,"Providence Hospital","6801 Airport Boulevard",Mobile,36608,AL,01,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater","1,844","$109,914,430","$31,933,649","$27,220,178","2,402","13,086","13,490",75.0,221,616,655,352,"1,025",819,"1,562",240,,14,,18,272,"1,572",1%,13%,20%,19%,35%,3%,32%,29%,2%,1%,4%,13%,40%,20%,41%,35%,48%,46%,75%,75%,58%,15%,3%,55%,17%,1.767
010091,"Grove Hill Memorial Hospital","295 Jackson Hwy S","Grove Hill",36451,AL,01,10.1,"Secondary flow 30% to <50% to a urbanized area of 50,000 and greater",36,"$320,337","$301,503","$241,499",40,135,142,70.8,,,,,23,13,28,,,,,,13,23,6%,28%,19%,28%,39%,11%,39%,31%,6%,0%,11%,8%,36%,6%,25%,28%,44%,47%,58%,75%,39%,3%,3%,39%,14%,1.825
010092,"Dch Regional Medical Center","809 University Boulevard East",Tuscaloosa,35401,AL,01,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater","3,193","$208,764,110","$64,662,560","$53,768,495","4,628","25,684","27,156",73.4,559,989,"1,015",630,"1,724","1,469","2,319",801,,16,,48,931,"2,262",2%,10%,22%,24%,38%,8%,40%,37%,1%,2%,6%,12%,35%,18%,43%,37%,49%,39%,75%,75%,40%,13%,3%,55%,19%,2.163
010095,"Hale County Hospital","508 Green Street",Greensboro,36744,AL,01,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",77,"$690,721","$717,613","$604,923",86,298,305,77.4,,18,25,,46,31,34,42,,,,,39,38,0%,8%,9%,35%,31%,3%,21%,17%,0%,1%,0%,12%,25%,13%,65%,34%,44%,42%,75%,75%,35%,10%,3%,55%,10%,1.882
010097,"Elmore Community Hospital","500 Hospital Drive",Wetumpka,36092,AL,01,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",128,"$937,348","$1,355,276","$1,147,974",158,492,496,73.2,27,36,38,27,68,60,109,19,,,,,24,104,4%,27%,34%,16%,41%,12%,37%,28%,0%,5%,7%,10%,27%,14%,30%,41%,47%,32%,73%,75%,38%,13%,1%,55%,14%,1.378
010099,"D W Mcmillan Memorial Hospital","1301 Belleville Avenue",Brewton,36426,AL,01,7,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",187,"$5,161,499","$2,339,458","$2,037,926",262,931,940,76.5,21,56,62,48,102,85,147,38,,,,,50,137,1%,7%,19%,25%,34%,6%,30%,28%,2%,3%,4%,10%,39%,24%,50%,35%,48%,40%,72%,75%,45%,13%,4%,57%,18%,1.635
010100,"Thomas Hospital","750 Morphy Avenue",Fairhope,36532,AL,01,4.1,"Secondary flow 30% to <50% to a urbanized area of 50,000 and greater","2,096","$112,154,459","$35,377,572","$28,469,612","2,879","13,625","14,211",76.8,163,667,787,479,"1,121",975,"1,941",86,13,14,,,180,"1,916",2%,9%,14%,22%,36%,4%,38%,35%,1%,2%,4%,13%,40%,21%,43%,27%,39%,40%,75%,75%,58%,19%,5%,60%,16%,1.804
010101,"Citizens Baptist Medical Center","604 Stone Avenue",Talladega,35161,AL,01,99,Unknown,246,"$24,252,781","$3,711,157","$3,173,174",331,"1,238","1,281",73.2,42,79,74,51,135,111,175,67,,,,,96,150,0%,13%,25%,32%,44%,4%,45%,39%,2%,2%,9%,8%,37%,14%,45%,39%,51%,45%,75%,75%,49%,13%,6%,59%,31%,2.487
010102,"J Paul Jones Hospital","317 Mcwilliams Avenue",Camden,36726,AL,01,10,"Rural areas: primary flow to a tract outside a urbanized area of 50,000 and greater or UC",18,"$128,838","$185,034","$162,634",20,72,72,76.6,,,,,,,12,,,,,,,,0%,6%,28%,22%,17%,0%,22%,17%,0%,0%,11%,0%,39%,22%,61%,44%,50%,33%,67%,75%,28%,0%,0%,39%,22%,1.382
010103,"Princeton Baptist Medical Center","701 Princeton Avenue Southwest",Birmingham,35211,AL,01,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater","1,352","$232,219,711","$31,172,039","$22,021,295","1,698","9,144","9,556",74.2,167,501,447,237,662,690,902,426,,,,15,335,"1,017",1%,16%,24%,26%,38%,6%,42%,39%,2%,2%,6%,13%,37%,21%,51%,36%,52%,47%,75%,75%,59%,14%,2%,60%,24%,2.263
010104,"Grandview Medical Center","3690 Grandview Parkway",Birmingham,35243,AL,01,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater","4,260","$998,653,409","$80,595,137","$60,995,381","5,520","25,406","27,439",74.8,502,"1,456","1,463",839,"2,347","1,913","3,751",403,19,23,,,420,"3,840",2%,12%,16%,20%,42%,9%,40%,35%,3%,2%,6%,15%,38%,19%,40%,29%,43%,37%,75%,75%,47%,16%,4%,61%,22%,1.796
010108,"Prattville Baptist Hospital","124 S Memorial Dr",Prattville,36067,AL,01,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",514,"$19,994,859","$6,152,878","$4,892,518",677,"3,289","3,432",76.2,64,140,181,129,293,221,435,65,,,,,66,448,2%,11%,19%,30%,41%,6%,42%,39%,2%,3%,6%,11%,38%,20%,49%,42%,47%,46%,75%,75%,55%,17%,3%,58%,23%,1.929
010112,"Whitfield Regional Hospital","105 Highway 80 East",Demopolis,36732,AL,01,7,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",260,"$8,116,238","$4,555,207","$4,051,839",335,"2,235","2,277",74.5,42,80,77,61,151,109,145,111,,,,,102,158,0%,11%,19%,33%,35%,3%,40%,34%,2%,2%,7%,14%,36%,20%,58%,37%,51%,52%,75%,75%,47%,10%,4%,47%,19%,2.352
010113,"Mobile Infirmary Medical Center","5 Mobile Infirmary Circle",Mobile,36607,AL,01,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater","3,126","$202,355,897","$61,189,959","$50,782,688","4,342","27,718","29,190",74.7,422,"1,009","1,047",648,"1,659","1,467","2,415",639,,20,,37,631,"2,495",2%,11%,20%,24%,34%,4%,36%,31%,2%,2%,9%,12%,38%,22%,49%,33%,44%,44%,75%,75%,54%,17%,4%,55%,20%,2.109
010114,"Medical West, An Affiliate Of Uab Health System","995 9th Avenue Southwest",Bessemer,35021,AL,01,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",754,"$38,337,331","$11,751,939","$9,567,655",999,"5,928","6,266",74.3,102,264,240,148,393,361,560,181,,,,,160,594,2%,17%,27%,29%,44%,9%,45%,38%,3%,3%,8%,11%,32%,22%,48%,44%,48%,39%,75%,75%,41%,15%,4%,58%,18%,2.157
